	HG38.seqnames	HG38.start	HG38.end	HG38.strand
871	chr14	36905846	36905847	-
872	chr1	77722181	77722182	-
873	chr2	104052696	104052697	+
874	chrX	39821590	39821591	-
875	chr9	34251515	34251516	+
876	chr5	10381880	10381881	+
877	chr17	50862607	50862608	-
878	chrX	33339544	33339545	-
879	chr21	34969643	34969644	-
880	chr13	99959611	99959612	-
881	chr17	48551355	48551356	-
882	chr5	65262796	65262797	-
883	chr5	65262796	65262797	-
884	chr20	46317347	46317348	-
885	chr8	25935402	25935403	-
886	chr2	60568273	60568274	-
887	chr7	37118118	37118119	-
888	chrX	39519331	39519332	-
889	chr3	146817897	146817898	-
890	chr8	60836282	60836283	+
891	chr5	135477255	135477256	+
892	chr6	35602145	35602146	-
893	chr9	16425476	16425477	-
894	chrX	33339388	33339389	-
895	chr14	93926463	93926512	+
896	chr10	76282334	76282335	+
897	chr8	124699565	124699566	-
898	chr1	12433549	12433550	+
899	chr17	29071027	29071028	-
900	chr11	8283759	8283760	-
901	chr6	138785286	138785287	+
902	chrX	100403636	100403637	-
903	chr11	8283523	8283524	-
904	chr1	61125551	61125552	+
905	chr9	86903075	86903076	-
906	chrX	83510113	83510114	+
907	chr8	22690766	22690767	-
908	chr10	74589492	74589493	+
909	chr3	137509897	137509898	-
910	chrX	10611851	10611852	-
911	chrX	28588006	28588007	+
912	chr14	29217124	29217125	-
913	chr16	70692010	70692011	-
914	chrX	49879207	49879208	-
915	chr12	106418374	106418375	+
916	chr11	47355410	47355411	-
917	chr1	38197811	38197812	+
918	chrX	43973564	43973565	-
919	chr11	10805994	10805995	-
920	chrX	69505318	69505319	+
921	chr1	47579121	47579122	+
922	chr21	16420302	16420303	+
923	chr3	35744538	35744539	+
924	chr7	27136650	27136651	+
925	chrX	28587808	28587809	+
926	chr10	128930242	128930243	+
927	chr3	18658525	18658526	+
928	chrX	137426826	137426827	-
929	chr1	81974347	81974348	+
930	chrX	80809624	80809625	-
931	chr3	147408155	147408156	+
932	chr1	44524759	44524760	+
933	chr1	12433628	12433629	+
934	chr18	55863964	55863965	+
935	chr8	37236295	37236296	-
936	chr11	8283454	8283455	-
937	chr17	1999728	1999729	+
938	chr1	44603267	44603268	+
939	chrX	137568964	137568965	+
940	chr11	76411189	76411190	+
941	chr1	56707645	56707646	+
942	chr7	42020323	42020324	-
943	chr11	47355416	47355417	-
944	chr3	25596428	25596429	+
945	chr8	144330841	144330890	+
946	chr12	53677480	53677481	-
947	chr13	70755734	70755735	+
948	chr9	93701863	93701864	+
949	chrX	33339154	33339155	-
950	chrX	39519503	39519504	-
951	chr11	114890048	114890049	+
952	chr13	21045980	21045981	-
953	chr7	128066068	128066069	+
954	chrX	71536345	71536346	+
955	chr3	62415721	62415722	-
956	chr7	27129896	27129897	-
957	chr9	1032364	1032365	-
958	chr3	123424898	123424899	-
959	chr5	92147423	92147424	+
960	chr17	50863947	50863948	-
961	chr9	14096692	14096693	-
962	chr1	155007823	155007824	+
963	chr21	34791822	34791823	-
964	chrX	135546759	135546760	+
965	chrX	70445253	70445254	+
966	chr21	16309479	16309480	-
967	chr1	44602897	44602898	+
968	chr18	74797310	74797311	+
969	chr9	74284851	74284852	+
970	chr11	16357153	16357154	-
971	chr4	165741089	165741090	-
972	chrX	153971842	153971843	-
973	chr17	2213744	2213745	+
974	chr1	101847017	101847018	-
975	chrX	106999757	106999758	-
976	chr5	173890557	173890558	+
977	chr6	151805610	151805611	+
978	chrX	137550396	137550397	-
979	chr1	67052038	67052039	-
980	chr7	82443465	82443466	-
981	chrX	132957253	132957254	-
982	chr1	39268418	39268419	+
983	chr5	138018979	138018980	-
984	chr6	157672779	157672780	+
985	chr19	30686833	30686834	+
986	chr1	154970090	154970091	-
987	chr11	14583327	14583328	-
988	chrX	41520275	41520276	+
989	chr14	76334549	76334550	+
990	chrX	17655843	17655844	+
991	chr21	16534800	16534801	+
992	chr12	118189908	118189909	-
993	chr5	167919227	167919228	+
994	chr19	13091539	13091540	+
995	chr9	14096736	14096737	-
996	chr2	59077419	59077420	+
997	chr7	116317470	116317471	+
998	chr9	100168492	100168493	+
999	chr14	96570582	96570583	+
1000	chr6	84449364	84449365	-
1001	chr11	72308827	72308828	-
1002	chr19	30848665	30848666	+
1003	chr8	25935443	25935444	-
1004	chr3	52040099	52040100	+
1005	chr2	144615974	144615975	+
1006	chr5	94884590	94884591	-
1007	chr1	44619411	44619412	+
1008	chr13	71621765	71621766	-
1009	chr17	7894548	7894549	+
1010	chr2	144567742	144567743	+
1011	chr2	143957451	143957452	-
1012	chrX	72495215	72495216	-
1013	chr14	72737089	72737090	-
1014	chrX	68895112	68895113	+
1015	chr1	60895857	60895858	+
1016	chr3	115852528	115852529	-
1017	chr1	50633544	50633545	-
1018	chrX	49270659	49270660	+
1019	chrX	75522984	75522985	-
1020	chr11	128690161	128690162	+
1021	chr4	39062620	39062621	+
1022	chr11	126130438	126130439	-
1023	chr22	27843088	27843089	-
1024	chr2	144452735	144452736	-
1025	chr3	114419089	114419090	-
1026	chr2	200860331	200860332	-
1027	chr9	2159835	2159836	+
1028	chr11	64626538	64626539	-
1029	chrX	140250517	140250518	-
1030	chr3	114660351	114660352	-
1031	chr4	173531212	173531213	+
1032	chr12	97075791	97075792	+
1033	chrX	153688326	153688327	+
1034	chr3	114660343	114660344	-
1035	chrX	110317626	110317627	-
1036	chrX	110004083	110004084	+
1037	chrX	132957105	132957106	-
1038	chr19	30004126	30004127	+
1039	chr1	39563904	39563905	-
1040	chr7	27133802	27133803	+
1041	chr18	55406887	55406888	-
1042	chr7	128095317	128095318	+
1043	chr17	44779248	44779249	+
1044	chr2	159150438	159150439	+
1045	chr9	20356890	20356891	-
1046	chrX	137566105	137566106	+
1047	chr2	104408323	104408324	+
1048	chr6	10397050	10397051	-
1049	chr20	22490979	22490980	-
1050	chr8	64373028	64373029	+
1051	chr2	229205823	229205824	-
1052	chr2	104052707	104052708	+
1053	chr14	68563895	68563896	+
1054	chr10	101749593	101749594	-
1055	chr11	64626534	64626535	-
1056	chr4	21303867	21303868	-
1057	chrX	133999597	133999598	+
1058	chrX	150367221	150367222	+
1059	chr2	161624446	161624447	+
1060	chr5	74055555	74055556	-
1061	chr1	53656691	53656692	-
1062	chr9	125549822	125549823	-
1063	chr22	41387466	41387467	+
1064	chr18	37502292	37502293	-
1065	chr2	16166746	16166747	+
1066	chrX	132958295	132958296	-
